,y
0,-0.9992411625626958
1,-1.113252751944569
2,-0.5728797124824427
3,-0.9599722164174823
4,-0.23861624714587648
5,-0.6849794301097056
6,-0.25496451790000485
7,2.6196965285030682
8,-0.08549175057449565
9,0.10666216851968174
10,-0.877424069932943
11,1.2453375116930776
12,-1.3287872867107944
13,-0.7538281685357259
14,-0.9954053585614302
15,0.22830927202821338
16,0.3234794047290092
17,-0.2578828514455208
18,0.7025502615357043
19,1.9852908242427179
20,1.6503767402865523
21,1.061959521233959
22,2.616598539415254
23,0.7394269736478294
24,0.9353682151022706
25,1.2079574389178804
26,0.8578463385871831
27,0.6562739060147463
28,1.8638567262492634
29,2.80311966017278
30,2.609015761521443
31,1.4209674982569287
32,1.725609312260634
33,2.365977383007652
34,2.6681628969959954
35,1.7735582195926871
36,2.378556267721759
37,2.9924948468210752
38,2.938994916523667
39,3.6699211998640715
40,1.8273566204822032
41,3.832121019260552
42,2.41322338511158
43,3.1648306741291705
44,3.0313989708150784
45,1.7794429132274736
46,0.5255917420065945
47,1.0360468978363468
48,1.6545171969051595
49,0.4499945488269481
50,0.3664522405244495
51,-1.4242429479402532
52,-1.0064957192316593
53,-1.1925527465871766
54,-1.6297780843652703
55,-3.4054113360751987
56,-1.8816827596603494
57,-2.5280957522708847
58,-1.343174523293949
59,0.08306118258099637
60,-1.3544212841537533
61,-1.0816861313977624
62,1.2077207042871088
63,-0.5567289429183239
64,-0.006267798958763338
65,-1.574276447018662
66,-0.5820893237112874
67,1.5916950504878065
68,-0.7605722542592128
69,0.4037940382233852
70,-1.1509558243578695
71,-2.421259405568758
72,-1.9884227465642714
73,-0.6183770609207759
74,-1.2334341242110705
75,-0.36205716633236285
76,-0.08710949031182402
77,-0.9530514945946347
78,-3.549321084783761
79,-2.856746767313819
80,-2.882879351439701
81,-2.2929506936958006
82,-1.5687537213674942
83,-1.0373497774478577
84,-1.3099886948389516
85,-1.2475552626019297
86,-1.733955127909082
87,-1.2081860363007153
88,-2.0645795089367587
89,-2.1986415773300507
90,-3.013280181409442
91,-0.9219777988640057
92,-0.22591223241536684
93,-0.6288653326590291
94,-1.5762278198792223
95,-2.7021985406958478
96,-1.3787261476405215
97,-1.3747942209183084
98,0.366546631306067
99,1.174595324540073
100,0.8563891538887718
101,0.4719180074004292
102,1.6515475866451905
103,2.1525312259974863
104,-0.1569466426541386
105,1.5285813909648045
106,1.2408358041482899
107,0.14415113599463636
108,1.3507830963577891
109,0.9089466133862744
110,1.2031875372773544
111,2.453637336479189
112,0.36210792699189054
113,-0.6851245071884705
114,-0.3148894803536256
115,-0.8332699165099327
116,0.15758474511204001
117,0.620451435568053
118,0.45762945068536853
119,-0.7590285251984656
