,y
0,9.618319077332663
1,11.266874245462077
2,22.33333987987198
3,26.12841805999423
4,22.917042186569486
5,23.17846577451681
6,28.18727413801635
7,22.01322852439174
8,26.238285531123875
9,30.882758329986725
10,41.6948126569886
11,44.691242811250646
12,35.717117574499284
13,32.120735159876396
14,40.86488518411172
15,50.49178306660041
16,54.93551470777994
17,48.52649215255649
18,49.6053284088764
19,52.87901645050441
20,57.728223401335995
21,53.42669090191267
22,62.909977410309644
23,72.5431398303826
24,73.05885414533847
25,68.80899392447448
26,63.56905707606871
27,66.60741336057124
28,75.94945920337838
29,76.64825122371852
30,78.23410613058819
31,82.81429158501575
32,88.51395024906132
33,83.42540745168499
34,78.46276039551215
35,88.11336312967295
36,98.30814318713607
37,100.0733021553774
38,95.58856931861527
39,95.30172234070916
40,96.18038525214412
41,97.05162821954818
42,105.05031043529085
43,109.05854217607717
44,104.2105415463331
45,107.90707277330704
46,112.82587279953752
47,113.32882115121116
48,117.70730003953652
49,125.47787119266734
50,128.82188726911315
51,129.0347274542615
52,127.22433118357554
53,132.56448519029374
54,133.11642211189147
55,133.9273746447346
56,136.24261969095033
57,135.24087753159955
58,135.72505946018637
59,143.66087372439205
60,151.21970505909906
61,163.29194067551538
62,156.26742484266768
63,150.73666610445477
64,147.6407218697642
65,154.7189294743703
66,170.27951544637983
67,162.48849461933125
68,153.31632553607812
69,161.23771302529025
70,166.37703811844193
71,171.1736454201252
72,179.74593055410634
73,183.91146373925636
74,177.53211480820883
75,176.19960680734673
76,183.79347587291346
77,185.66771816855143
78,187.02471131210103
79,189.1929930661389
80,190.5862042788421
81,187.15056795675397
82,193.13555813192013
83,197.75700212030102
84,200.6519789039552
85,198.55875524488033
86,205.65586924405451
87,211.3397037797697
88,202.67483719486984
89,207.5087825741611
90,204.7511848366078
91,212.57652582006497
92,225.77725333956408
93,228.29732780501246
94,214.65079178667958
95,210.73509359674193
96,223.10412236810902
97,229.90605497084323
98,228.46990272471572
99,234.1531605110455
100,227.14079632457967
101,230.31620378428102
102,243.36424956810149
103,248.05873787189316
104,245.80567301022342
105,238.38203792076533
106,244.3320257104816
107,260.784093886509
108,258.0825255338937
109,250.83480876897127
110,246.52040413188263
111,252.01966030795856
112,264.838974198185
113,270.65019302118645
114,262.3558186456744
115,264.5969355754072
116,264.878355695521
117,272.7982078972891
118,278.31013227658144
119,279.3304294571411
