,y
0,0.33198471801580803
1,1.1878425148813392
2,1.3695523661379625
3,1.286686343164163
4,0.9544814095661442
5,2.0393914026047817
6,1.179128280915175
7,1.2850975798355802
8,0.8027223304396194
9,-0.9596501317259598
10,-1.6138147312894842
11,-2.1280273248927366
12,-3.9675794529122967
13,-3.4541035390785373
14,-1.147859886049737
15,-1.3518577294098497
16,-1.5960981411716093
17,-2.146130788248757
18,-2.5060010386398353
19,-4.87475770614251
20,-4.77417612524263
21,-5.329932346447194
22,-4.290122200528796
23,-4.5335975791795775
24,-5.171125064990166
25,-3.5987129941877036
26,-4.065796472784062
27,-5.076494192800963
28,-5.113988803401049
29,-3.784737093533753
30,-4.139519556037733
31,-4.942100738498633
32,-5.436117242051548
33,-5.25995879967305
34,-3.769681215572586
35,-3.722049795299502
36,-2.7212821023349725
37,-2.6529528556007853
38,-2.444879294421952
39,-3.120167971049133
40,-4.1564139401828175
41,-3.4223519014055106
42,-3.4708088702316413
43,-2.2961636228829625
44,-0.9185898495661555
45,-1.09168367569776
46,-0.5533046047151507
47,-0.421832736722207
48,-1.2495559714397309
49,-2.5832130656497494
50,-3.0603495686359308
51,-1.761671447765776
52,-1.7067514051319785
53,-1.1041317827165642
54,-2.5002975964498733
55,-2.603412418875523
56,-2.259553835156799
57,-3.3503716902500176
58,-1.7070529120246014
59,-0.8641099953126762
60,-1.7714522021401664
61,-1.0007759008393207
62,-0.19849992083989165
63,-1.0697977024108787
64,0.9249958275814907
65,1.197759353015393
66,1.2110253293924222
67,2.2496085918492774
68,2.4345369570259257
69,2.3015768271296237
70,1.2500827929888214
71,0.7797771553496458
72,1.442142511030108
73,1.354020271574488
74,1.9732772395748914
75,3.630973121432008
76,3.0736576828328754
77,2.27484467038784
78,3.0205436116131463
79,3.2033887362016285
80,3.602162189284448
81,3.6908810441030258
82,3.86383206303833
83,3.329884502084408
84,4.529680540588028
85,3.6073512474643534
86,3.351220157342741
87,2.560323414640057
88,2.155981255266691
89,1.190195027478
90,1.264865650111843
91,1.5923343949715127
92,1.235921410540278
93,0.30138104339008054
94,1.1357925783416591
95,0.41664246712878084
96,0.14508228328300432
97,0.4661655792941538
98,-0.17152002563751545
99,-1.7807569295307113
100,-1.5158044351710127
101,-1.4282984365576352
102,-1.0652157746322102
103,-2.1879801925528763
104,-3.0311071040731083
105,-3.2401107523194663
106,-4.612502473052086
107,-3.8615895622161625
108,-3.7712245729568394
109,-5.168016370031165
110,-5.025476197996166
111,-4.541907249792453
112,-5.367766475232486
113,-5.1965447891495185
114,-6.098051586641875
115,-5.5971132591689265
116,-6.0939190410806106
117,-4.907469389793302
118,-2.4344897155468783
119,-2.4917652177506526
